sentence,relation,enhanced_sentence,label_id
The yellow <e1>discolouration</e1> has been caused by the damaging acidic <e2>properties</e2> of the low-grade mount used in the original frame.,1,The yellow <e1>discolouration</e1> has been caused by the damaging acidic <e2>properties</e2> of the low-grade mount used in the original frame. [SEP] discolouration: a soiled or discolored appearance [KG: No data] [SEP] properties: something owned; any tangible or intangible possession that is owned by someone [KG: No data],1
"British <e1>troops</e1> made their deepest <e2>incursion</e2> into Basra yesterday, ""poking a toe"" within four miles of the centre.",18,"British <e1>troops</e1> made their deepest <e2>incursion</e2> into Basra yesterday, ""poking a toe"" within four miles of the centre. [SEP] troops: soldiers collectively [KG: No data] [SEP] incursion: the act of entering some territory or domain (often in large numbers) [KG: No data]",18
The Sports Medical Committee has passed on the <e1>recommendation</e1> to the FIFA <e2>executive</e2>.,6,The Sports Medical Committee has passed on the <e1>recommendation</e1> to the FIFA <e2>executive</e2>. [SEP] recommendation: something (as a course of action) that is recommended as advisable [KG: http://www.wikidata.org/prop/direct/P279: recommendation] [SEP] executive: a person responsible for the administration of a business [KG: No data],6
"For this installation, I poured <e1>flour</e1> into nylon <e2>stockings</e2> and created shapes that looked a lot like bodies themselves.",6,"For this installation, I poured <e1>flour</e1> into nylon <e2>stockings</e2> and created shapes that looked a lot like bodies themselves. [SEP] flour: fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain [KG: No data] [SEP] stockings: close-fitting hosiery to cover the foot and leg; come in matched pairs (usually used in the plural) [KG: No data]",6
"With the recent invention of plastic core roller covers, the <e1>painter</e1> is able to complete an entire job no matter how large, with their original <e2>roller</e2>.",11,"With the recent invention of plastic core roller covers, the <e1>painter</e1> is able to complete an entire job no matter how large, with their original <e2>roller</e2>. [SEP] painter: an artist who paints [KG: No data] [SEP] roller: a grounder that rolls along the infield [KG: http://www.wikidata.org/prop/direct/P279: roller; http://www.wikidata.org/prop/direct/P279: roller]",11
The man was bluffing because the <e1>bomb</e1> was in a <e2>can</e2> of orange juice that had been served by the airline itself.,4,The man was bluffing because the <e1>bomb</e1> was in a <e2>can</e2> of orange juice that had been served by the airline itself. [SEP] bomb: an explosive device fused to explode under specific conditions [KG: http://www.wikidata.org/prop/direct/P180: bomb] [SEP] can: airtight sealed metal container for food or drink or paint etc. [KG: No data],4
"A state <e1>church</e1> is created by the <e2>state</e2>, as in the cases of the Anglican Church, created by Henry VIII.",16,"A state <e1>church</e1> is created by the <e2>state</e2>, as in the cases of the Anglican Church, created by Henry VIII. [SEP] church: one of the groups of Christians who have their own beliefs and forms of worship [KG: No data] [SEP] state: the territory occupied by one of the constituent administrative districts of a nation [KG: http://www.wikidata.org/prop/direct/P1889: state; http://www.wikidata.org/prop/direct/P279: state; http://www.wikidata.org/prop/direct/P1889: state; http://www.wikidata.org/prop/direct/P1889: state; http://www.wikidata.org/prop/direct/P1889: state]",16
"Sun <e1>astronomy</e1> is explored in this <e2>book</e2> with large type, full-page color photos, and a word list for young readers.",15,"Sun <e1>astronomy</e1> is explored in this <e2>book</e2> with large type, full-page color photos, and a word list for young readers. [SEP] astronomy: the branch of physics that studies celestial bodies and the universe as a whole [KG: http://www.wikidata.org/prop/direct/P1074: astronomy] [SEP] book: a written work or composition that has been published (printed on pages bound together) [KG: http://www.wikidata.org/prop/direct/P1889: book; http://www.wikidata.org/prop/direct/P180: book; http://www.wikidata.org/prop/direct/P31: book; http://www.wikidata.org/prop/direct/P31: book; http://www.wikidata.org/prop/direct/P31: book]",15
A <e1>man</e1> uses a <e2>microphone</e2> as he gives a speech.,11,A <e1>man</e1> uses a <e2>microphone</e2> as he gives a speech. [SEP] man: an adult person who is male (as opposed to a woman) [KG: http://www.wikidata.org/prop/direct/P180: man] [SEP] microphone: device for converting sound waves into electrical energy [KG: No data],11
"The <e1>e-mail</e1> was sent from the private <e2>account</e2> of a member from Guarding Our Children Against Marijuana, or GOCAM.",8,"The <e1>e-mail</e1> was sent from the private <e2>account</e2> of a member from Guarding Our Children Against Marijuana, or GOCAM. [SEP] e-mail: (computer science) a system of world-wide electronic communication in which a computer user can compose a message at one terminal that can be regenerated at the recipient's terminal when the recipient logs in [KG: No data] [SEP] account: a record or narrative description of past events [KG: No data]",8
The <e1>film</e1> portrays four <e2>girls</e2> in a trend-setting clique at a fictional Ohio high school.,14,The <e1>film</e1> portrays four <e2>girls</e2> in a trend-setting clique at a fictional Ohio high school. [SEP] film: a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement [KG: No data] [SEP] girls: a young woman [KG: No data],14
"Near Bailli, a <e1>division</e1> of veteran <e2>swordsmen</e2> proved its valor and killed a division of medieval infantry with minimal losses.",13,"Near Bailli, a <e1>division</e1> of veteran <e2>swordsmen</e2> proved its valor and killed a division of medieval infantry with minimal losses. [SEP] division: an army unit large enough to sustain combat [KG: http://www.wikidata.org/prop/direct/P1889: division; http://www.wikidata.org/prop/direct/P1889: division; http://www.wikidata.org/prop/direct/P279: division; http://www.wikidata.org/prop/direct/P279: division] [SEP] swordsmen: someone skilled at fencing [KG: No data]",13
This <e1>material</e1> was produced from a microfilm <e2>copy</e2> of the original document.,8,This <e1>material</e1> was produced from a microfilm <e2>copy</e2> of the original document. [SEP] material: the tangible substance that goes into the makeup of a physical object [KG: http://www.wikidata.org/prop/direct/P279: material] [SEP] copy: a reproduction of a written record (e.g. of a legal or school record) [KG: No data],8
"The <e1>general</e1> reached the city by <e2>train</e2> from Worcester at 6, and was received by a delegation from the military of the city, accompanied by the Brigade Band.",11,"The <e1>general</e1> reached the city by <e2>train</e2> from Worcester at 6, and was received by a delegation from the military of the city, accompanied by the Brigade Band. [SEP] general: a general officer of the highest rank [KG: http://www.wikidata.org/prop/direct/P1889: general; http://www.wikidata.org/prop/direct/P279: general; http://www.wikidata.org/prop/direct/P279: general; http://www.wikidata.org/prop/direct/P279: general; http://www.wikidata.org/prop/direct/P1889: general] [SEP] train: public transport provided by a line of railway cars coupled together and drawn by a locomotive [KG: No data]",11
Dominicans have been protesting against the proposed construction of a <e1>cement</e1> <e2>factory</e2> in the protected area of Los Haitises National Park.,16,Dominicans have been protesting against the proposed construction of a <e1>cement</e1> <e2>factory</e2> in the protected area of Los Haitises National Park. [SEP] cement: concrete pavement is sometimes referred to as cement [KG: No data] [SEP] factory: a plant consisting of one or more buildings with facilities for manufacturing [KG: No data],16
The <e1>damage</e1> caused by the <e2>tsunami</e2> - at least the physical damage - is barely visible in some places.,1,The <e1>damage</e1> caused by the <e2>tsunami</e2> - at least the physical damage - is barely visible in some places. [SEP] damage: the occurrence of a change for the worse [KG: No data] [SEP] tsunami: a cataclysm resulting from a destructive sea wave caused by an earthquake or volcanic eruption [KG: No data],1
We used the scope to leisurely study the <e1>kaleidoscope</e1> of whirling and nectaring <e2>butterflies</e2>.,13,We used the scope to leisurely study the <e1>kaleidoscope</e1> of whirling and nectaring <e2>butterflies</e2>. [SEP] kaleidoscope: a complex pattern of constantly changing colors and shapes [KG: No data] [SEP] butterflies: diurnal insect typically having a slender body with knobbed antennae and broad colorful wings [KG: No data],13
Dr. Brian Howard is a remarkably skilled Atlanta plastic <e1>surgeon</e1> who is part of a select <e2>group</e2> of medical professionals who has certification in plastic surgery.,12,Dr. Brian Howard is a remarkably skilled Atlanta plastic <e1>surgeon</e1> who is part of a select <e2>group</e2> of medical professionals who has certification in plastic surgery. [SEP] surgeon: a physician who specializes in surgery [KG: http://www.wikidata.org/prop/direct/P155: surgeon; http://www.wikidata.org/prop/direct/P1889: surgeon; http://www.wikidata.org/prop/direct/P156: surgeon; http://www.wikidata.org/prop/direct/P1889: surgeon; http://www.wikidata.org/prop/direct/P1889: surgeon] [SEP] group: any number of entities (members) considered as a unit [KG: http://www.wikidata.org/prop/direct/P1889: group; http://www.wikidata.org/prop/direct/P1889: group; http://www.wikidata.org/prop/direct/P138: group; http://www.wikidata.org/prop/direct/P1889: group; http://www.wikidata.org/prop/direct/P279: group],12
"Last week, the <e1>troops</e1> moved into a dangerous war <e2>zone</e2>.",6,"Last week, the <e1>troops</e1> moved into a dangerous war <e2>zone</e2>. [SEP] troops: soldiers collectively [KG: No data] [SEP] zone: a locally circumscribed place characterized by some distinctive features [KG: http://www.wikidata.org/prop/direct/P279: zone]",6
Homemade <e1>tomato</e1> <e2>soup</e2> is so much better than the shop bought versions.,9,Homemade <e1>tomato</e1> <e2>soup</e2> is so much better than the shop bought versions. [SEP] tomato: mildly acid red or yellow pulpy fruit eaten as a vegetable [KG: http://www.wikidata.org/prop/direct/P1672: tomato; http://www.wikidata.org/prop/direct/P1582: tomato; http://www.wikidata.org/prop/direct/P138: tomato] [SEP] soup: liquid food especially of meat or fish or vegetable stock often containing pieces of solid food [KG: http://www.wikidata.org/prop/direct/P279: soup],9
The following <e1>table</e1> indicates the <e2>party</e2> of elected officials in the U.S. state of California.,14,The following <e1>table</e1> indicates the <e2>party</e2> of elected officials in the U.S. state of California. [SEP] table: a set of data arranged in rows and columns [KG: http://www.wikidata.org/prop/direct/P1889: table; http://www.wikidata.org/prop/direct/P1889: table; http://www.wikidata.org/prop/direct/P180: table] [SEP] party: an organization to gain political power [KG: http://www.wikidata.org/prop/direct/P1889: party; http://www.wikidata.org/prop/direct/P1889: party; http://www.wikidata.org/prop/direct/P279: party],14
The <e1>Ark</e1> was hidden in a <e2>cave</e2> beneath the Temple Mount in the very heart of Israel.,4,The <e1>Ark</e1> was hidden in a <e2>cave</e2> beneath the Temple Mount in the very heart of Israel. [SEP] Ark: (Judaism) sacred chest where the ancient Hebrews kept the two tablets containing the Ten Commandments [KG: http://www.wikidata.org/prop/direct/P1889: Ark; http://www.wikidata.org/prop/direct/P1889: Ark; http://www.wikidata.org/prop/direct/P1889: Ark; http://www.wikidata.org/prop/direct/P747: Ark; http://www.wikidata.org/prop/direct/P162: Ark] [SEP] cave: a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea [KG: http://www.wikidata.org/prop/direct/P279: cave; http://www.wikidata.org/prop/direct/P460: cave; http://www.wikidata.org/prop/direct/P180: cave],4
I used these techniques to stretch my <e1>ear</e1> <e2>lobes</e2> to accept 6 gauge earrings.,3,I used these techniques to stretch my <e1>ear</e1> <e2>lobes</e2> to accept 6 gauge earrings. [SEP] ear: the sense organ for hearing and equilibrium [KG: http://www.wikidata.org/prop/direct/P180: ear] [SEP] lobes: (anatomy) a somewhat rounded subdivision of a bodily organ or part [KG: No data],3
The <e1>examiner</e1> lightly touched the cornea with a hand-held <e2>probe</e2> until a reading was automatically recorded.,11,The <e1>examiner</e1> lightly touched the cornea with a hand-held <e2>probe</e2> until a reading was automatically recorded. [SEP] examiner: someone who administers a test to determine your qualifications [KG: No data] [SEP] probe: an inquiry into unfamiliar or questionable activities [KG: No data],11
"For Jung, the <e1>individual</e1> is a participant in a '<e2>collective unconscious</e2>'.",18,"For Jung, the <e1>individual</e1> is a participant in a '<e2>collective unconscious</e2>'. [SEP] individual: a human being [KG: No data] [SEP] collective unconscious: N/A [KG: No data]",18
144 of those apartments have been personally designed by Giorgio Armani and the tower also boasts the <e1>designer</e1>'s first <e2>hotel</e2>.,17,144 of those apartments have been personally designed by Giorgio Armani and the tower also boasts the <e1>designer</e1>'s first <e2>hotel</e2>. [SEP] designer: a person who specializes in designing architectural interiors and their furnishings [KG: No data] [SEP] hotel: a building where travelers can pay for lodging and meals and other services [KG: No data],17
Leader Moammar Gadhafi's <e1>son</e1> has been handed over to the Libyan <e2>embassy</e2> in Switzerland.,6,Leader Moammar Gadhafi's <e1>son</e1> has been handed over to the Libyan <e2>embassy</e2> in Switzerland. [SEP] son: a male human offspring [KG: No data] [SEP] embassy: a diplomatic building where ambassadors live or work [KG: No data],6
"The <e1>cabin</e1> was moved from its original <e2>site</e2> near Huxley, Iowa, as a project of the Ames Heritage Association.",8,"The <e1>cabin</e1> was moved from its original <e2>site</e2> near Huxley, Iowa, as a project of the Ames Heritage Association. [SEP] cabin: small room on a ship or boat where people sleep [KG: http://www.wikidata.org/prop/direct/P279: cabin] [SEP] site: the piece of land on which something is located (or is to be located) [KG: No data]",8
"After 30 minutes, my <e1>sister</e1> arrived to my <e2>house</e2> for dinner.",6,"After 30 minutes, my <e1>sister</e1> arrived to my <e2>house</e2> for dinner. [SEP] sister: a female person who has the same parents as another person [KG: No data] [SEP] house: a dwelling that serves as living quarters for one or more families [KG: http://www.wikidata.org/prop/direct/P2959: house; http://www.wikidata.org/prop/direct/P31: house; http://www.wikidata.org/prop/direct/P31: house; http://www.wikidata.org/prop/direct/P31: house; http://www.wikidata.org/prop/direct/P31: house]",6
The above <e1>ticker</e1> was distilled from my daily <e2>posts</e2> to Twitter.,8,The above <e1>ticker</e1> was distilled from my daily <e2>posts</e2> to Twitter. [SEP] ticker: the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body [KG: No data] [SEP] posts: the position where someone (as a guard or sentry) stands or is assigned to stand [KG: No data],8
That ominous <e1>message</e1> from the <e2>chairman</e2> has been followed up this afternoon with the departure of manager Russell Slade.,16,That ominous <e1>message</e1> from the <e2>chairman</e2> has been followed up this afternoon with the departure of manager Russell Slade. [SEP] message: a communication (usually brief) that is written or spoken or signaled [KG: http://www.wikidata.org/prop/direct/P279: message; http://www.wikidata.org/prop/direct/P460: message] [SEP] chairman: the officer who presides at the meetings of an organization [KG: No data],16
The medical <e1>team</e1> of the <e2>army</e2> has undertaken a vaccination drive to prevent outbreak of any epidemic.,2,The medical <e1>team</e1> of the <e2>army</e2> has undertaken a vaccination drive to prevent outbreak of any epidemic. [SEP] team: a cooperative unit (especially in sports) [KG: No data] [SEP] army: a permanent organization of the military land forces of a nation or state [KG: http://www.wikidata.org/prop/direct/P921: army; http://www.wikidata.org/prop/direct/P6875: army],2
The chef stirred the chopped <e1>pistachios</e1> into the soaked <e2>fruit</e2>.,6,The chef stirred the chopped <e1>pistachios</e1> into the soaked <e2>fruit</e2>. [SEP] pistachios: small tree of southern Europe and Asia Minor bearing small hard-shelled nuts [KG: No data] [SEP] fruit: the ripened reproductive body of a seed plant [KG: http://www.wikidata.org/prop/direct/P1382: fruit; http://www.wikidata.org/prop/direct/P1889: fruit; http://www.wikidata.org/prop/direct/P180: fruit; http://www.wikidata.org/prop/direct/P1382: fruit; http://www.wikidata.org/prop/direct/P1889: fruit],6
"There wasn't wireless internet, but a <e1>network cord</e1> was in the <e2>desk</e2>.",4,"There wasn't wireless internet, but a <e1>network cord</e1> was in the <e2>desk</e2>. [SEP] network cord: N/A [KG: No data] [SEP] desk: a piece of furniture with a writing surface and usually drawers or other compartments [KG: No data]",4
The <e1>gaps</e1> in the rings are caused by <e2>resonance</e2> between the particles in the rings and the moons orbiting nearby.,1,The <e1>gaps</e1> in the rings are caused by <e2>resonance</e2> between the particles in the rings and the moons orbiting nearby. [SEP] gaps: a conspicuous disparity or difference as between two figures [KG: No data] [SEP] resonance: an excited state of a stable particle causing a sharp maximum in the probability of absorption of electromagnetic radiation [KG: http://www.wikidata.org/prop/direct/P1889: resonance],1
The baby <e1>tapir</e1> snorgled its <e2>snout</e2> into the basket full of cuddly baby bunnies.,3,The baby <e1>tapir</e1> snorgled its <e2>snout</e2> into the basket full of cuddly baby bunnies. [SEP] tapir: large inoffensive chiefly nocturnal ungulate of tropical America and southeast Asia having a heavy body and fleshy snout [KG: No data] [SEP] snout: a long projecting or anterior elongation of an animal's head; especially the nose [KG: No data],3
"The diaspora's <e1>identity</e1> is rooted in an ancient <e2>heritage</e2>, a rich language and literature and a vibrant culture.",8,"The diaspora's <e1>identity</e1> is rooted in an ancient <e2>heritage</e2>, a rich language and literature and a vibrant culture. [SEP] identity: the distinct personality of an individual regarded as a persisting entity [KG: http://www.wikidata.org/prop/direct/P1889: identity; http://www.wikidata.org/prop/direct/P1889: identity] [SEP] heritage: practices that are handed down from the past by tradition [KG: http://www.wikidata.org/prop/direct/P1889: heritage; http://www.wikidata.org/prop/direct/P1889: heritage]",8
"Subsidiary sales companies were also located in Canada, Germany, and Italy, and two <e1>factories</e1> were producing <e2>products</e2> in England.",17,"Subsidiary sales companies were also located in Canada, Germany, and Italy, and two <e1>factories</e1> were producing <e2>products</e2> in England. [SEP] factories: a plant consisting of one or more buildings with facilities for manufacturing [KG: No data] [SEP] products: commodities offered for sale [KG: No data]",17
The <e1>scientist</e1> synthesizes a <e2>copy</e2> of the magical red ball by using a few fragments that were left on the grandfather's hand.,17,The <e1>scientist</e1> synthesizes a <e2>copy</e2> of the magical red ball by using a few fragments that were left on the grandfather's hand. [SEP] scientist: a person with advanced knowledge of one or more sciences [KG: No data] [SEP] copy: a reproduction of a written record (e.g. of a legal or school record) [KG: No data],17
This documentary graphic <e1>novel</e1> brings together starkly beautiful black and white <e2>photographs</e2> taken by Lefevre.,3,This documentary graphic <e1>novel</e1> brings together starkly beautiful black and white <e2>photographs</e2> taken by Lefevre. [SEP] novel: an extended fictional work in prose; usually in the form of a story [KG: No data] [SEP] photographs: a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material [KG: No data],3
His <e1>perspective</e1> was gained from a <e2>knowledge</e2> of history and theology.,8,His <e1>perspective</e1> was gained from a <e2>knowledge</e2> of history and theology. [SEP] perspective: a way of regarding situations or topics etc. [KG: http://www.wikidata.org/prop/direct/P279: perspective; http://www.wikidata.org/prop/direct/P1889: perspective; http://www.wikidata.org/prop/direct/P2283: perspective; http://www.wikidata.org/prop/direct/P1889: perspective] [SEP] knowledge: the psychological result of perception and learning and reasoning [KG: http://www.wikidata.org/prop/direct/P279: knowledge; http://www.wikidata.org/prop/direct/P460: knowledge],8
The <e1>drugs</e1> were in a <e2>box</e2>.,4,The <e1>drugs</e1> were in a <e2>box</e2>. [SEP] drugs: a substance that is used as a medicine or narcotic [KG: No data] [SEP] box: a (usually rectangular) container; may have a lid [KG: http://www.wikidata.org/prop/direct/P1889: box; http://www.wikidata.org/prop/direct/P1889: box; http://www.wikidata.org/prop/direct/P31: box],4
He sent his love a <e1>letter</e1> with <e2>confetti hearts</e2> inside of the letter so they pour out everywhere when his sweetheart opens it.,4,He sent his love a <e1>letter</e1> with <e2>confetti hearts</e2> inside of the letter so they pour out everywhere when his sweetheart opens it. [SEP] letter: a written message addressed to a person or organization [KG: http://www.wikidata.org/prop/direct/P1889: letter; http://www.wikidata.org/prop/direct/P1889: letter] [SEP] confetti hearts: N/A [KG: No data],4
He followed a specific procedure for obtaining the <e1>engineer</e1>'s <e2>permit</e2> in Quebec and met certain requirements to receive an engineer's permit.,18,He followed a specific procedure for obtaining the <e1>engineer</e1>'s <e2>permit</e2> in Quebec and met certain requirements to receive an engineer's permit. [SEP] engineer: a person who uses scientific knowledge to solve practical problems [KG: http://www.wikidata.org/prop/direct/P460: engineer; http://www.wikidata.org/prop/direct/P460: engineer; http://www.wikidata.org/prop/direct/P106: engineer; http://www.wikidata.org/prop/direct/P106: engineer] [SEP] permit: a legal document giving official permission to do something [KG: No data],18
The <e1>party</e1> starts in an <e2>hour</e2>.,18,The <e1>party</e1> starts in an <e2>hour</e2>. [SEP] party: an organization to gain political power [KG: http://www.wikidata.org/prop/direct/P1889: party; http://www.wikidata.org/prop/direct/P1889: party; http://www.wikidata.org/prop/direct/P279: party] [SEP] hour: a period of time equal to 1/24th of a day [KG: No data],18
Fact Magazine was an American <e1>publication</e1> that commented on <e2>controversial topics</e2>.,14,Fact Magazine was an American <e1>publication</e1> that commented on <e2>controversial topics</e2>. [SEP] publication: a copy of a printed work offered for distribution [KG: No data] [SEP] controversial topics: N/A [KG: No data],14
This is how a <e1>politician</e1> uses <e2>tourism</e2> as an instrument for power.,11,This is how a <e1>politician</e1> uses <e2>tourism</e2> as an instrument for power. [SEP] politician: a leader engaged in civil administration [KG: No data] [SEP] tourism: the business of providing services to tourists [KG: No data],11
"In the <e1>hold</e1> of the American <e2>ship</e2>, I was feeling very queasy.",2,"In the <e1>hold</e1> of the American <e2>ship</e2>, I was feeling very queasy. [SEP] hold: the act of grasping [KG: No data] [SEP] ship: a vessel that carries passengers or freight [KG: No data]",2
The <e1>meeting</e1> was postponed to a <e2>later date</e2>.,6,The <e1>meeting</e1> was postponed to a <e2>later date</e2>. [SEP] meeting: a formally arranged gathering [KG: http://www.wikidata.org/prop/direct/P279: meeting] [SEP] later date: N/A [KG: No data],6
The <e1>envelope</e1> contained a <e2>DVD</e2> of her mother.,5,"The <e1>envelope</e1> contained a <e2>DVD</e2> of her mother. [SEP] envelope: a flat (usually rectangular) container for a letter, thin package, etc. [KG: http://www.wikidata.org/prop/direct/P279: envelope; http://www.wikidata.org/prop/direct/P1889: envelope; http://www.wikidata.org/prop/direct/P1889: envelope; http://www.wikidata.org/prop/direct/P1889: envelope] [SEP] DVD: a digital recording (as of a movie) on an optical disk that can be played on a computer or a television set [KG: No data]",5
Nearly all sensory <e1>information</e1> (except the sense of smell) arrives here from the primary sensory <e2>neurons</e2> before being sent to the cortex.,8,Nearly all sensory <e1>information</e1> (except the sense of smell) arrives here from the primary sensory <e2>neurons</e2> before being sent to the cortex. [SEP] information: a message received and understood [KG: http://www.wikidata.org/prop/direct/P460: information; http://www.wikidata.org/prop/direct/P460: information] [SEP] neurons: a cell that is specialized to conduct nerve impulses [KG: No data],8
Almost all of today's <e1>automobiles</e1> have painted plastic <e2>bumpers</e2> because they are easily damaged during parking maneuvers.,3,Almost all of today's <e1>automobiles</e1> have painted plastic <e2>bumpers</e2> because they are easily damaged during parking maneuvers. [SEP] automobiles: a motor vehicle with four wheels; usually propelled by an internal combustion engine [KG: No data] [SEP] bumpers: a glass filled to the brim (especially as a toast) [KG: No data],3
"The resulting <e1>conflict</e1> caused the <e2>destruction</e2> of the town, and The Conqueror, Wisecrack, Jackdaw and most of the citizens of the town were transported to a demon-dimension.",0,"The resulting <e1>conflict</e1> caused the <e2>destruction</e2> of the town, and The Conqueror, Wisecrack, Jackdaw and most of the citizens of the town were transported to a demon-dimension. [SEP] conflict: an open clash between two opposing groups (or individuals); --Thomas Paine [KG: http://www.wikidata.org/prop/direct/P1889: conflict; http://www.wikidata.org/prop/direct/P1889: conflict] [SEP] destruction: the termination of something by causing so much damage to it that it cannot be repaired or no longer exists [KG: No data]",0
They discovered a good bit of published literature about <e1>modification</e1> of yeast with resveratrol-related <e2>genes</e2>.,18,They discovered a good bit of published literature about <e1>modification</e1> of yeast with resveratrol-related <e2>genes</e2>. [SEP] modification: the act of making something different (as e.g. the size of a garment) [KG: No data] [SEP] genes: (genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity [KG: No data],18
"As the right front wheel of Senna's car hit the wall, the violent <e1>impact</e1> caused a <e2>torsion</e2> on the steering column, causing it to break.",0,"As the right front wheel of Senna's car hit the wall, the violent <e1>impact</e1> caused a <e2>torsion</e2> on the steering column, causing it to break. [SEP] impact: the striking of one body against another [KG: No data] [SEP] torsion: a tortuous and twisted shape or position [KG: No data]",0
Magnetic <e1>field</e1> is made of <e2>photons</e2>.,3,Magnetic <e1>field</e1> is made of <e2>photons</e2>. [SEP] field: a piece of land cleared of trees and usually enclosed [KG: http://www.wikidata.org/prop/direct/P279: field] [SEP] photons: a quantum of electromagnetic radiation; an elementary particle that is its own antiparticle [KG: No data],3
The above exceptions fully resolved the evaluation of a <e1>photograph</e1> by a <e2>court</e2> as a result of the claim.,18,The above exceptions fully resolved the evaluation of a <e1>photograph</e1> by a <e2>court</e2> as a result of the claim. [SEP] photograph: a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material [KG: No data] [SEP] court: an assembly (including one or more judges) to conduct judicial business [KG: http://www.wikidata.org/prop/direct/P1629: court; http://www.wikidata.org/prop/direct/P1687: court],18
"A few bare-bodied young lads were standing on the rod of the <e1>tram</e1>'s <e2>wheel</e2>, hanging on to the windows with one hand.",3,"A few bare-bodied young lads were standing on the rod of the <e1>tram</e1>'s <e2>wheel</e2>, hanging on to the windows with one hand. [SEP] tram: a conveyance that transports passengers or freight in carriers suspended from cables and supported by a series of towers [KG: No data] [SEP] wheel: a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines) [KG: No data]",3
There are <e1>allegations</e1> that the <e2>massacre</e2> was organized.,14,There are <e1>allegations</e1> that the <e2>massacre</e2> was organized. [SEP] allegations: (law) a formal accusation against somebody (often in a court of law) [KG: No data] [SEP] massacre: the savage and excessive killing of many people [KG: No data],14
Scientists have successfully tested a <e1>system</e1> that translates brain waves into <e2>speech</e2>.,18,Scientists have successfully tested a <e1>system</e1> that translates brain waves into <e2>speech</e2>. [SEP] system: instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity [KG: No data] [SEP] speech: the act of delivering a formal spoken communication to an audience [KG: No data],18
"The entire <e1>colony</e1> of nesting <e2>pairs</e2> of Cassin's auklets on California's Farallones Islands, for example, abandoned their nests, most likely because of shortages of krill, their main food.",13,"The entire <e1>colony</e1> of nesting <e2>pairs</e2> of Cassin's auklets on California's Farallones Islands, for example, abandoned their nests, most likely because of shortages of krill, their main food. [SEP] colony: a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government [KG: http://www.wikidata.org/prop/direct/P1889: colony; http://www.wikidata.org/prop/direct/P1889: colony] [SEP] pairs: a set of two similar things considered as a unit [KG: No data]",13
The <e1>company</e1> has assembled five independent food safety <e2>experts</e2> to serve on its newly formed Food Safety Advisory Council.,18,The <e1>company</e1> has assembled five independent food safety <e2>experts</e2> to serve on its newly formed Food Safety Advisory Council. [SEP] company: an institution created to conduct business [KG: http://www.wikidata.org/prop/direct/P1889: company; http://www.wikidata.org/prop/direct/P279: company; http://www.wikidata.org/prop/direct/P8030: company; http://www.wikidata.org/prop/direct/P1889: company; http://www.wikidata.org/prop/direct/P279: company] [SEP] experts: a person with special knowledge or ability who performs skillfully [KG: No data],18
The <e1>weather</e1> resulted in several deaths and hundreds of <e2>accidents</e2>.,0,The <e1>weather</e1> resulted in several deaths and hundreds of <e2>accidents</e2>. [SEP] weather: the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation [KG: No data] [SEP] accidents: an unfortunate mishap; especially one causing damage or injury [KG: No data],0
In the Western Province the <e1>starch</e1> is stored in woven palm leaf <e2>bundles</e2>.,4,"In the Western Province the <e1>starch</e1> is stored in woven palm leaf <e2>bundles</e2>. [SEP] starch: a complex carbohydrate found chiefly in seeds, fruits, tubers, roots and stem pith of plants, notably in corn, potatoes, wheat, and rice; an important foodstuff and used otherwise especially in adhesives and as fillers and stiffeners for paper and textiles [KG: No data] [SEP] bundles: a collection of things wrapped or boxed together [KG: No data]",4
My new <e1>boss</e1> moved into his <e2>office</e2> yesterday.,6,My new <e1>boss</e1> moved into his <e2>office</e2> yesterday. [SEP] boss: a person who exercises control over workers [KG: http://www.wikidata.org/prop/direct/P279: boss] [SEP] office: place of business where professional or clerical duties are performed [KG: http://www.wikidata.org/prop/direct/P460: office],6
<e1>Orange</e1> <e2>juice</e2> is a popular breakfast beverage made from the extraction (squeezing) of liquid from fresh oranges.,9,<e1>Orange</e1> <e2>juice</e2> is a popular breakfast beverage made from the extraction (squeezing) of liquid from fresh oranges. [SEP] Orange: round yellow to orange fruit of any of several citrus trees [KG: http://www.wikidata.org/prop/direct/P190: Orange; http://www.wikidata.org/prop/direct/P1889: Orange; http://www.wikidata.org/prop/direct/P190: Orange; http://www.wikidata.org/prop/direct/P190: Orange; http://www.wikidata.org/prop/direct/P1830: Orange] [SEP] juice: the liquid part that can be extracted from plant or animal tissue by squeezing or cooking [KG: http://www.wikidata.org/prop/direct/P279: juice; http://www.wikidata.org/prop/direct/P1889: juice; http://www.wikidata.org/prop/direct/P1889: juice],9
